phase FPC1 FPC2 FPC3 FPC4 mean
-10.0 0.049062 -0.097193 0.08547699999999997 0.106571 0.17701299999999998
-9.9 0.04881100000000001 -0.09693200000000002 0.084542 0.10884799999999997 0.16930900000000004
-9.8 0.04856100000000001 -0.09667 0.08360699999999999 0.11112400000000003 0.16160600000000003
-9.7 0.04831100000000001 -0.09640899999999998 0.08267200000000002 0.1134 0.15390199999999998
-9.6 0.048038 -0.09595899999999999 0.08178199999999997 0.115337 0.14619900000000008
-9.5 0.04776599999999999 -0.09550499999999999 0.08089299999999999 0.11727000000000001 0.13849599999999995
-9.4 0.047492 -0.095051 0.08000399999999996 0.119201 0.13079299999999994
-9.3 0.047198000000000004 -0.09441 0.079158 0.12080100000000002 0.12428700000000004
-9.2 0.046902 -0.093764 0.078314 0.12238899999999997 0.117861
-9.1 0.046605999999999995 -0.09311599999999999 0.07747100000000001 0.123977 0.11143400000000003
-9.0 0.046289 -0.092285 0.07667100000000004 0.12523499999999999 0.10500599999999993
-8.9 0.045971 -0.09144500000000001 0.075872 0.12647999999999998 0.09857899999999997
-8.8 0.045653 -0.090606 0.07507400000000003 0.127724 0.0921519999999999
-8.7 0.045313000000000006 -0.08958500000000001 0.07431900000000002 0.128645 0.08684599999999998
-8.6 0.044972 -0.08855199999999999 0.073567 0.129544 0.08169499999999996
-8.5 0.044632000000000005 -0.08751899999999999 0.07281399999999999 0.13044399999999998 0.07654500000000009
-8.4 0.04426899999999999 -0.08630800000000001 0.07210299999999997 0.131025 0.07139400000000007
-8.3 0.043906 -0.085081 0.07139699999999999 0.131581 0.06624399999999997
-8.2 0.043542 -0.08385600000000001 0.07068999999999998 0.13213799999999998 0.06109299999999995
-8.1 0.043159 -0.082454 0.070025 0.132379 0.05698599999999998
-8.0 0.042772 -0.08103600000000001 0.06936400000000004 0.13259100000000001 0.05311200000000005
-7.9 0.04238599999999999 -0.07961700000000001 0.06870199999999999 0.132803 0.04923600000000006
-7.8 0.04198 -0.078026 0.06808199999999998 0.13270700000000002 0.04536200000000001
-7.7 0.041571000000000004 -0.07641400000000001 0.06746600000000003 0.132574 0.041488000000000025
-7.6 0.041163000000000005 -0.07480200000000001 0.06685000000000002 0.132442 0.03761300000000001
-7.5 0.040733 -0.07301999999999999 0.066276 0.13200599999999998 0.03470599999999996
-7.4 0.040302000000000004 -0.07121600000000002 0.06570499999999996 0.131529 0.032107
-7.3 0.03987 -0.069411 0.06513600000000003 0.13105299999999998 0.029509000000000007
-7.2 0.039419 -0.06744000000000001 0.064604 0.130278 0.026911000000000018
-7.1 0.038965 -0.06544199999999999 0.06408000000000003 0.12945800000000002 0.024312999999999974
-7.0 0.038512000000000005 -0.06344399999999999 0.063556 0.128637 0.02171500000000004
-6.9 0.038037 -0.06128199999999999 0.06307099999999999 0.127523 0.020006999999999997
-6.8 0.037561000000000004 -0.059091000000000005 0.06259200000000004 0.126359 0.018684000000000034
-6.7 0.037084000000000006 -0.05690099999999999 0.06211300000000003 0.12519399999999997 0.017362999999999962
-6.6 0.036588 -0.054549000000000014 0.06167299999999998 0.123742 0.016041000000000027
-6.5 0.036088999999999996 -0.05216499999999999 0.06123999999999996 0.12223200000000001 0.014719000000000038
-6.4 0.035588999999999996 -0.04978199999999999 0.060807 0.120724 0.013396999999999992
-6.3 0.035071000000000005 -0.04723999999999999 0.06041099999999999 0.118933 0.012817999999999996
-6.2 0.03455 -0.04466300000000001 0.06002400000000002 0.11708 0.012664999999999982
-6.1 0.034027 -0.042087 0.059636999999999996 0.115226 0.012510999999999994
-6.0 0.033488000000000004 -0.039455000000000004 0.05925299999999997 0.113171 0.012358000000000036
-5.9 0.032945 -0.036808999999999995 0.05887199999999998 0.111066 0.012203999999999993
-5.8 0.032402 -0.034163 0.058488999999999985 0.10896299999999999 0.012050999999999978
-5.7 0.031844000000000004 -0.031711 0.05803100000000003 0.106846 0.012002999999999986
-5.6 0.031283 -0.029308999999999988 0.05755300000000002 0.10472500000000001 0.01203499999999999
-5.5 0.030723 -0.026907 0.057075000000000015 0.102605 0.012064999999999992
-5.4 0.030147999999999998 -0.024707999999999994 0.056517999999999985 0.100483 0.012096000000000023
-5.3 0.02957 -0.022568000000000005 0.05593699999999999 0.09835999999999999 0.012126999999999999
-5.2 0.028990999999999996 -0.020427999999999995 0.05535599999999999 0.096237 0.012159000000000003
-5.1 0.028399 -0.018485999999999995 0.054699 0.094112 0.012160000000000004
-5.0 0.027803 -0.016607999999999998 0.05401599999999998 0.09198600000000001 0.012135000000000007
-4.9 0.027208000000000003 -0.014728999999999999 0.05333400000000002 0.08986100000000001 0.012109999999999982
-4.8 0.026597999999999997 -0.013046000000000002 0.05257499999999998 0.08773299999999999 0.012085000000000012
-4.7 0.025984999999999998 -0.011430000000000003 0.051790999999999976 0.085604 0.012057999999999985
-4.6 0.025370999999999998 -0.009813000000000002 0.051005999999999996 0.08347600000000001 0.012033000000000016
-4.5 0.024745000000000003 -0.008386999999999999 0.050148 0.081346 0.01198200000000002
-4.4 0.024114999999999998 -0.007031999999999997 0.049261 0.07921600000000001 0.011899999999999994
-4.3 0.023482999999999997 -0.0056769999999999946 0.048374 0.077085 0.011817999999999995
-4.2 0.02284 -0.004508999999999999 0.047415 0.074952 0.01173500000000001
-4.1 0.022191000000000002 -0.0034170000000000034 0.04642700000000001 0.07281800000000001 0.01165300000000001
-4.0 0.021544 -0.0023229999999999987 0.04543799999999999 0.070685 0.011570999999999998
-3.9 0.020883 -0.0014129999999999976 0.04437899999999999 0.068549 0.011466000000000004
